        size,          ops,         time,      op/time
        1024,         1024,     0.000003,  3.41333e+08
        2048,         2048,     0.000010,    2.048e+08
        3072,         3072,     0.000012,     2.56e+08
        4096,         4096,     0.000008,     5.12e+08
        5120,         5120,     0.000024,  2.13333e+08
        6144,         6144,     0.000017,  3.61412e+08
        7168,         7168,     0.000015,  4.77867e+08
        8192,         8192,     0.000034,  2.40941e+08
        9216,         9216,     0.000029,  3.17793e+08
       10240,        10240,     0.000037,  2.76757e+08
       11264,        11264,     0.000027,  4.17185e+08
       12288,        12288,     0.000037,  3.32108e+08
       13312,        13312,     0.000057,  2.33544e+08
       14336,        14336,     0.000073,  1.96384e+08
       15360,        15360,     0.000086,  1.78605e+08
       16384,        16384,     0.000222,  7.38018e+07
       17408,        17408,     0.000121,  1.43868e+08
       18432,        18432,     0.000133,  1.38586e+08
       19456,        19456,     0.000078,  2.49436e+08
       20480,        20480,     0.000162,   1.2642e+08
       21504,        21504,     0.000084,     2.56e+08
       22528,        22528,     0.000094,   2.3966e+08
       23552,        23552,     0.000175,  1.34583e+08
       24576,        24576,     0.000142,   1.7307e+08
       25600,        25600,     0.000114,  2.24561e+08
       26624,        26624,     0.000126,  2.11302e+08
       27648,        27648,     0.000124,  2.22968e+08
       28672,        28672,     0.000147,  1.95048e+08
       29696,        29696,     0.000157,  1.89146e+08
       30720,        30720,     0.000165,  1.86182e+08
       31744,        31744,     0.000137,  2.31708e+08
       32768,        32768,     0.000150,  2.18453e+08
       33792,        33792,     0.000139,  2.43108e+08
       34816,        34816,     0.000160,    2.176e+08
       35840,        35840,     0.000138,   2.5971e+08
       36864,        36864,     0.000163,   2.2616e+08
       37888,        37888,     0.000144,  2.63111e+08
       38912,        38912,     0.000216,  1.80148e+08
       39936,        39936,     0.000226,  1.76708e+08
       40960,        40960,     0.000188,  2.17872e+08
       41984,        41984,     0.000161,   2.6077e+08
       43008,        43008,     0.000188,  2.28766e+08
       44032,        44032,     0.000195,  2.25805e+08
       45056,        45056,     0.000201,  2.24159e+08
       46080,        46080,     0.000209,  2.20478e+08
       47104,        47104,     0.000188,  2.50553e+08
       48128,        48128,     0.000204,  2.35922e+08
       49152,        49152,     0.000201,  2.44537e+08
       50176,        50176,     0.000230,  2.18157e+08
       51200,        51200,     0.000233,  2.19742e+08
       52224,        52224,     0.000214,  2.44037e+08
       53248,        53248,     0.000210,  2.53562e+08
       54272,        54272,     0.000203,   2.6735e+08
       55296,        55296,     0.000225,   2.4576e+08
       56320,        56320,     0.000226,  2.49204e+08
       57344,        57344,     0.000233,  2.46112e+08
       58368,        58368,     0.000243,  2.40198e+08
       59392,        59392,     0.000254,  2.33827e+08
       60416,        60416,     0.000254,  2.37858e+08
       61440,        61440,     0.000292,  2.10411e+08
       62464,        62464,     0.000247,  2.52891e+08
       63488,        63488,     0.000254,  2.49953e+08
       64512,        64512,     0.000328,  1.96683e+08
       65536,        65536,     0.000322,  2.03528e+08
       66560,        66560,     0.000355,  1.87493e+08
       67584,        67584,     0.000408,  1.65647e+08
       68608,        68608,     0.000394,  1.74132e+08
       69632,        69632,     0.000454,  1.53374e+08
       70656,        70656,     0.000332,  2.12819e+08
       71680,        71680,     0.000324,  2.21235e+08
       72704,        72704,     0.000273,  2.66315e+08
       73728,        73728,     0.000316,  2.33316e+08
       74752,        74752,     0.000278,  2.68892e+08
       75776,        75776,     0.000303,  2.50086e+08
       76800,        76800,     0.000336,  2.28571e+08
       77824,        77824,     0.000293,  2.65611e+08
       78848,        78848,     0.000330,  2.38933e+08
       79872,        79872,     0.000301,  2.65355e+08
       80896,        80896,     0.000343,  2.35848e+08
