Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
std::set<int, std::less<int>, std::allocator<int>>::find	10.928923	10.928923	0.0	0.0	serial_prim	std::set<int, std::less<int>, std::allocator<int>>::find(int const&)	[Unknown]	0x4032b6
std::istream::operator>>	6.069880	6.069880	0.0	0.0	libstdc++.so.6	std::istream::operator>>()	[Unknown]	0x102530
std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>::push_back	1.510154	1.510154	0.0	0.0	serial_prim	std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>::push_back(std::pair<int, int>&&)	[Unknown]	0x402f32
__gnu_cxx::__aligned_membuf<int>::_M_ptr	1.010041	1.010041	0.0	0.0	serial_prim	__gnu_cxx::__aligned_membuf<int>::_M_ptr(void) const	[Unknown]	0x40667a
__gnu_cxx::__aligned_membuf<int>::_M_addr	0.799654	0.799654	0.0	0.0	serial_prim	__gnu_cxx::__aligned_membuf<int>::_M_addr(void) const	[Unknown]	0x4069ca
prim_minimum_spanning_tree	0.411175	0.411175	0.0	0.0	serial_prim	prim_minimum_spanning_tree(std::vector<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>, std::allocator<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>>&)	[Unknown]	0x401f8b
get_adj_list	0.370008	0.370008	0.0	0.0	serial_prim	get_adj_list(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>)	[Unknown]	0x401d96
__gnu_cxx::new_allocator<std::pair<int, int>>::construct<std::pair<int, int>, std::pair<int, int>>	0.330003	0.330003	0.0	0.0	serial_prim	__gnu_cxx::new_allocator<std::pair<int, int>>::construct<std::pair<int, int>, std::pair<int, int>>(std::pair<int, int>*, std::pair<int, int>&&)	[Unknown]	0x4056b2
std::set<int, std::less<int>, std::allocator<int>>::end	0.290058	0.290058	0.0	0.0	serial_prim	std::set<int, std::less<int>, std::allocator<int>>::end(void) const	[Unknown]	0x4032f6
std::get<(unsigned long)1, int, int>	0.249966	0.249966	0.0	0.0	serial_prim	std::get<(unsigned long)1, int, int>(int&&)	[Unknown]	0x402b19
