Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
std::istream::operator>>	5.509761	5.509761	0.0	0.0	libstdc++.so.6	std::istream::operator>>()	[Unknown]	0x102530
std::set<int, std::less<int>, std::allocator<int>>::find	1.899890	1.899890	0.0	0.0	serial_prim	std::set<int, std::less<int>, std::allocator<int>>::find(int const&)	[Unknown]	0x4032b6
std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>::push_back	0.299978	0.299978	0.0	0.0	serial_prim	std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>::push_back(std::pair<int, int>&&)	[Unknown]	0x402f32
get_adj_list	0.239761	0.239761	0.0	0.0	serial_prim	get_adj_list(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>)	[Unknown]	0x401d96
__gnu_cxx::__aligned_membuf<int>::_M_ptr	0.170033	0.170033	0.0	0.0	serial_prim	__gnu_cxx::__aligned_membuf<int>::_M_ptr(void) const	[Unknown]	0x40667a
std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char>>>::do_get	0.130019	0.130019	0.0	0.0	libstdc++.so.6	std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char>>>::do_get(std::istreambuf_iterator<char, std::char_traits<char>>, std::istreambuf_iterator<char, std::char_traits<char>>, std::ios_base&, std::_Ios_Iostate&, long&) const	[Unknown]	0x114a70
__gnu_cxx::__aligned_membuf<int>::_M_addr	0.099991	0.099991	0.0	0.0	serial_prim	__gnu_cxx::__aligned_membuf<int>::_M_addr(void) const	[Unknown]	0x4069ca
__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>::__normal_iterator	0.090401	0.090401	0.0	0.0	serial_prim	__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>::__normal_iterator(std::pair<int, int>* const&)	[Unknown]	0x4040d8
prim_minimum_spanning_tree	0.090003	0.090003	0.0	0.0	serial_prim	prim_minimum_spanning_tree(std::vector<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>, std::allocator<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>>&)	[Unknown]	0x401f8b
std::set<int, std::less<int>, std::allocator<int>>::end	0.070005	0.070005	0.0	0.0	serial_prim	std::set<int, std::less<int>, std::allocator<int>>::end(void) const	[Unknown]	0x4032f6
std::greater<std::pair<int, int>>::operator()	0.059985	0.059985	0.0	0.0	serial_prim	std::greater<std::pair<int, int>>::operator()(std::pair<int, int> const&, std::pair<int, int> const&) const	[Unknown]	0x4062c4
std::get<(unsigned long)1, int, int>	0.050055	0.050055	0.0	0.0	serial_prim	std::get<(unsigned long)1, int, int>(int&&)	[Unknown]	0x402b19
std::pair<int, int>::pair<int&, int&, (bool)1>	0.050003	0.050003	0.0	0.0	serial_prim	std::pair<int, int>::pair<int&, int&, (bool)1>(int&&&, int&&&)	[Unknown]	0x4029f6
func@0x8df74	0.049988	0.049988	0.0	0.0	libstdc++.so.6	func@0x8df74	[Unknown]	0x8df74
__gnu_cxx::new_allocator<std::pair<int, int>>::construct<std::pair<int, int>, std::pair<int, int>>	0.039998	0.039998	0.0	0.0	serial_prim	__gnu_cxx::new_allocator<std::pair<int, int>>::construct<std::pair<int, int>, std::pair<int, int>>(std::pair<int, int>*, std::pair<int, int>&&)	[Unknown]	0x4056b2
__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>::operator-	0.030021	0.030021	0.0	0.0	serial_prim	__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>::operator-(long) const	[Unknown]	0x404a62
operator new	0.029998	0.029998	0.0	0.0	serial_prim	operator new(unsigned long, void*)	[Unknown]	0x40288d
__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>::operator*	0.020005	0.020005	0.0	0.0	serial_prim	__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>::operator*(void) const	[Unknown]	0x40342e
__gnu_cxx::operator!=<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>	0.020004	0.020004	0.0	0.0	serial_prim	__gnu_cxx::operator!=<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>> const&, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>> const&)	[Unknown]	0x4033d1
operator new	0.020001	0.020001	0.0	0.0	libstdc++.so.6	operator new(unsigned long)	[Unknown]	0x96d60
std::vector<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>, std::allocator<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>>::operator[]	0.020001	0.020001	0.0	0.0	serial_prim	std::vector<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>, std::allocator<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>>::operator[](unsigned long)	[Unknown]	0x402f08
std::endl<char, std::char_traits<char>>	0.020000	0.020000	0.0	0.0	libstdc++.so.6	std::endl<char, std::char_traits<char>>(std::basic_ostream<char, std::char_traits<char>>&)	[Unknown]	0x11b980
std::priority_queue<std::pair<int, int>, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>, std::greater<std::pair<int, int>>>::push	0.010031	0.010031	0.0	0.0	serial_prim	std::priority_queue<std::pair<int, int>, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>, std::greater<std::pair<int, int>>>::push(std::pair<int, int>&&)	[Unknown]	0x4031e0
std::forward<std::pair<int, int>>	0.010001	0.010001	0.0	0.0	serial_prim	std::forward<std::pair<int, int>>(std::remove_reference<std::pair<int, int>>::type&)	[Unknown]	0x403968
std::get<(unsigned long)0, int, int>	0.010001	0.010001	0.0	0.0	serial_prim	std::get<(unsigned long)0, int, int>(int&&)	[Unknown]	0x402add
