Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
std::set<int, std::less<int>, std::allocator<int>>::find	29.564420	29.564420	0.0	0.0	serial_prim	std::set<int, std::less<int>, std::allocator<int>>::find(int const&)	[Unknown]	0x4032b6
std::istream::operator>>	6.219812	6.219812	0.0	0.0	libstdc++.so.6	std::istream::operator>>()	[Unknown]	0x102530
std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>::push_back	5.670476	5.670476	0.0	0.0	serial_prim	std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>::push_back(std::pair<int, int>&&)	[Unknown]	0x402f32
__gnu_cxx::__aligned_membuf<int>::_M_ptr	2.240071	2.240071	0.0	0.0	serial_prim	__gnu_cxx::__aligned_membuf<int>::_M_ptr(void) const	[Unknown]	0x40667a
__gnu_cxx::__aligned_membuf<int>::_M_addr	1.795402	1.795402	0.0	0.0	serial_prim	__gnu_cxx::__aligned_membuf<int>::_M_addr(void) const	[Unknown]	0x4069ca
prim_minimum_spanning_tree	1.179914	1.179914	0.0	0.0	serial_prim	prim_minimum_spanning_tree(std::vector<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>, std::allocator<std::vector<std::pair<int, int>, std::allocator<std::pair<int, int>>>>>&)	[Unknown]	0x401f8b
std::get<(unsigned long)1, int, int>	0.820067	0.820067	0.0	0.0	serial_prim	std::get<(unsigned long)1, int, int>(int&&)	[Unknown]	0x402b19
std::set<int, std::less<int>, std::allocator<int>>::end	0.710072	0.710072	0.0	0.0	serial_prim	std::set<int, std::less<int>, std::allocator<int>>::end(void) const	[Unknown]	0x4032f6
get_adj_list	0.589995	0.589995	0.0	0.0	serial_prim	get_adj_list(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>>)	[Unknown]	0x401d96
std::pair<int, int>::pair<int&, int&, (bool)1>	0.549700	0.549700	0.0	0.0	serial_prim	std::pair<int, int>::pair<int&, int&, (bool)1>(int&&&, int&&&)	[Unknown]	0x4029f6
